Timestamp	Rect_id	Rect_x	Rect_y	Rect_W	Rect_H	Meter_X	Meter_Y	Meter_Z	Top	Height	Distance
1455277530.662836544	0	333	131	114	238	493.58	-68.526	4070.59	746.934	1630.92	8.23318
1455277530.696352474	0	331	133	115	235	485.02	-69.3182	4117.65	741.705	1628.98	8.55914
1455277530.729756109	0	330	133	113	234	478.825	-70.5065	4188.24	754.42	1649.85	6.19522
1455277530.763233654	0	329	133	107	234	449.806	-70.5065	4188.24	754.42	1649.85	29.0197
1455277530.796787970	0	329	133	102	233	435.296	-63.4559	4188.24	754.42	1642.8	14.5099
1455277530.830416672	0	330	133	90	218	399.021	-14.1013	4188.24	754.42	1537.04	36.2747
1455277530.863932602	0	331	133	80	214	374.159	0	4235.29	762.896	1525.79	24.8624
1455277530.897338144	0	331	131	72	222	344.813	-14.2597	4235.29	777.156	1582.83	29.3458
1455277530.930851929	0	327	131	68	222	300.794	-14.2597	4235.29	777.156	1582.83	44.0186
1455277530.964329712	0	322	131	65	223	252.211	-14.4182	4282.35	785.791	1607.63	48.5835
1455277530.997845642	0	315	131	66	222	207.703	-14.4182	4282.35	785.791	1600.42	44.5078
1455277531.031361572	0	302	131	76	227	149.99	-29.1533	4329.41	794.426	1654.45	57.7134
1455277531.064877741	0	289	131	84	226	83.8392	-29.6286	4400	807.379	1674.02	66.1503
1455277531.098393671	0	294	131	77	226	89.9937	-29.1533	4329.41	794.426	1647.16	6.15446
1455277531.131754391	0	288	132	93	225	104.993	-29.1533	4329.41	787.138	1639.87	14.999
1455277531.165270559	0	285	133	78	218	29.9979	-14.5766	4329.41	779.85	1588.85	74.9948
1455277531.198823444	0	258	133	123	219	-7.49948	-14.5766	4329.41	779.85	1596.14	37.4974
1455277531.232498161	0	271	133	108	222	37.0898	-28.8364	4282.35	771.373	1600.42	44.5893
1455277531.266014091	0	262	133	116	224	-0	-36.0455	4282.35	771.373	1614.84	37.0898
1455277531.299371473	0	262	131	113	226	-14.8359	-28.8364	4282.35	785.791	1629.26	37.0898
1455277531.332850449	0	273	131	102	217	29.6718	7.2091	4282.35	785.791	1564.37	44.5078
1455277531.366366379	0	268	129	95	221	-37.0898	7.2091	4282.35	800.21	1593.21	66.7616
1455277531.399882547	0	263	130	92	217	-80.7009	14.2597	4235.29	784.286	1547.18	43.6111
1455277531.433398478	0	259	127	88	209	-124.72	64.1689	4235.29	805.676	1490.14	44.0187
1455277531.466914408	0	255	126	81	218	-183.411	35.6494	4235.29	812.806	1554.31	58.6915
1455277531.500430338	0	250	125	75	218	-242.103	42.7792	4235.29	819.936	1554.31	58.6915
1455277531.533946507	0	246	125	68	218	-293.458	42.7792	4235.29	819.936	1554.31	51.3551
1455277531.567428343	0	237	124	72	210	-344.813	78.4286	4235.29	827.065	1497.27	51.3551
1455277531.600899450	0	229	124	76	230	-388.831	7.12987	4235.29	827.065	1639.87	44.0187
1455277531.634407513	0	221	124	80	231	-432.85	7.12987	4235.29	827.065	1647	44.0186
1455277531.667923443	0	214	125	86	229	-462.196	7.12987	4235.29	819.936	1632.74	29.3458
1455277531.701439373	0	207	125	92	227	-491.542	14.2597	4235.29	819.936	1618.48	29.3457
1455277531.734955542	0	201	125	100	227	-506.215	14.2597	4235.29	819.936	1618.48	14.6729
1455277531.768479578	0	195	126	104	227	-535.56	7.12987	4235.29	812.806	1618.48	29.3458
1455277531.802040331	0	191	127	109	230	-544.12	-14.1013	4188.24	796.724	1621.65	8.5592
1455277531.835556261	0	188	127	111	227	-558.629	0	4188.24	796.724	1600.5	14.5098
1455277531.869069807	0	187	126	110	228	-565.884	0	4188.24	803.775	1607.55	7.25488
1455277531.902588360	0	185	125	104	230	-602.159	0	4188.24	810.825	1621.65	36.2747
1455277531.936104290	0	183	125	105	230	-616.669	0	4188.24	810.825	1621.65	14.5099
1455277531.969645969	0	178	123	101	233	-667.453	7.05065	4188.24	824.926	1642.8	50.7845
1455277532.003234379	0	173	122	97	231	-718.238	21.152	4188.24	831.977	1628.7	50.7845
1455277532.036677830	0	168	121	92	208	-769.022	105.76	4188.24	839.028	1466.54	50.7844
1455277532.070193760	0	163	119	74	202	-855.918	138.636	4117.65	838.75	1400.23	86.8961
1455277532.103709929	0	158	119	71	200	-905.847	145.568	4117.65	838.75	1386.36	49.9286
1455277532.137298338	0	153	117	74	200	-927.245	159.432	4117.65	852.614	1386.36	21.398
1455277532.170814268	0	147	117	76	201	-962.908	159.432	4117.65	852.614	1393.3	35.6631
1455277532.204519979	0	143	117	76	201	-991.439	159.432	4117.65	852.614	1393.3	28.5307
1455277532.237773888	0	137	117	78	199	-1027.1	166.364	4117.65	852.614	1379.43	35.6633
1455277532.271281235	0	131	118	79	197	-1057.67	164.462	4070.59	836.017	1349.96	30.5686
1455277532.304777853	0	125	118	80	197	-1080.29	162.561	4023.53	826.352	1334.36	22.6206
1455277532.338313334	0	119	119	82	283	-1115.14	-135.468	4023.53	819.579	1916.87	34.848
1455277532.371837847	0	113	119	86	198	-1129.65	147.272	3976.47	809.993	1325.44	14.51
1455277532.405412666	0	105	119	91	291	-1170.98	-160.66	3976.47	809.993	1948	41.3286
1455277532.439131968	0	99	119	91	209	-1197.96	112.454	3929.41	800.408	1382.52	26.9818
1455277532.472444765	0	90	118	93	197	-1252.41	158.759	3929.41	807.023	1303.14	54.4528
1455277532.505893223	0	87	117	89	197	-1286.45	165.373	3929.41	813.638	1303.14	34.0328
1455277532.539409391	0	84	116	86	286	-1313.67	-125.684	3929.41	820.252	1891.87	27.2264
1455277532.572992794	0	81	115	89	268	-1311.39	-58.8215	3882.35	816.965	1751.57	2.28259
1455277532.606567375	0	73	114	76	228	-1405.54	78.4286	3882.35	823.5	1490.14	94.1511
1455277532.640083305	0	68	114	77	215	-1439.17	124.179	3882.35	823.5	1405.18	33.6254
1455277532.673599474	0	56	113	85	307	-1511.06	-171.988	3929.41	840.097	2030.79	71.8972
1455277532.707115404	0	45	113	92	221	-1558.71	112.454	3929.41	840.097	1461.9	47.646
1455277532.740631334	0	33	113	101	210	-1613.16	145.529	3929.41	840.097	1389.14	54.4528
1455277532.774197094	0	26	82	105	291	-542.489	28.3214	1294.12	344.214	633.965	1070.67
1455277532.807859175	0	18	115	109	218	-1667.82	104.571	3882.35	816.965	1424.79	1125.33
1455277532.841313831	0	7	110	117	213	-1735.68	158.759	3929.41	859.942	1408.98	67.8621
1455277532.874829762	0	8	117	113	228	-1742.49	59.5345	3929.41	813.638	1508.21	6.80664
1455277532.908407204	0	1	118	116	227	-1755.24	58.8215	3882.35	797.358	1483.61	12.7572
